CustomerID,Category,Season,PurchaseAmount,ReviewRating,DiscountUsage,Cluster_ID,Cluster_Name
CUST-1000,Clothing,Summer,24.32,4.2,No,4,At Risk / Needs Attention
CUST-1001,Accessories,Fall,225.8,2.9,Yes,2,Loyal Customers
CUST-1002,Outerwear,Spring,89.11,1.5,Yes,2,Loyal Customers
CUST-1003,Footwear,Spring,45.59,1.5,Yes,3,Potential Loyalists
CUST-1004,Clothing,Spring,26.25,3.7,No,4,At Risk / Needs Attention
CUST-1005,Clothing,Spring,133.5,2.7,No,2,Loyal Customers
CUST-1006,Clothing,Winter,87.58,1.8,No,2,Loyal Customers
CUST-1007,Accessories,Spring,72.18,3.0,No,2,Loyal Customers
CUST-1008,Footwear,Winter,183.25,1.3,Yes,2,Loyal Customers
CUST-1009,Outerwear,Winter,131.55,3.3,No,2,Loyal Customers
CUST-1010,Clothing,Spring,27.34,2.1,No,4,At Risk / Needs Attention
CUST-1011,Accessories,Spring,43.02,4.2,No,3,Potential Loyalists
CUST-1012,Outerwear,Summer,36.43,2.2,Yes,4,At Risk / Needs Attention
CUST-1013,Clothing,Fall,117.18,2.8,No,2,Loyal Customers
CUST-1014,Clothing,Spring,17.56,1.0,Yes,4,At Risk / Needs Attention
CUST-1015,Clothing,Summer,78.28,1.3,Yes,2,Loyal Customers
CUST-1016,Clothing,Summer,122.81,2.6,No,2,Loyal Customers
CUST-1017,Footwear,Fall,172.03,2.9,No,2,Loyal Customers
CUST-1018,Footwear,Winter,46.4,3.4,Yes,3,Potential Loyalists
CUST-1019,Clothing,Spring,144.14,2.2,Yes,2,Loyal Customers
CUST-1020,Footwear,Fall,23.79,3.8,No,4,At Risk / Needs Attention
CUST-1021,Clothing,Spring,155.53,4.4,No,1,Champions
CUST-1022,Clothing,Summer,25.23,4.1,No,4,At Risk / Needs Attention
CUST-1023,Clothing,Summer,52.97,1.2,No,3,Potential Loyalists
CUST-1024,Footwear,Winter,134.7,2.9,No,2,Loyal Customers
CUST-1025,Outerwear,Summer,27.18,1.4,Yes,4,At Risk / Needs Attention
